,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,is_location_exact,property_type,price,weekly_price,monthly_price,neighbourhood_cleansed_index,neighbourhood_group_cleansed_index,property_type_index
137,Justicia,Centro,28004.0,40.42294940109058,-3.6955197518483134,1,Apartment,63.0,370.0,980.0,14,1,0
138,Sol,Centro,28012.0,40.41452328314032,-3.707742671526543,1,Apartment,100.0,550.0,1500.0,16,1,0
139,Pacífico,Retiro,28007.0,40.40649758922224,-3.6723323601625335,1,House,24.0,168.0,720.0,31,3,4
140,Ciudad Jardín,Chamartín,28002.0,40.44859172180356,-3.6774647722650187,1,Apartment,35.0,240.0,650.0,53,5,0
141,Cortes,Centro,28014.0,40.41281014822538,-3.695596012237688,1,Apartment,81.0,510.0,1600.0,13,1,0
142,Puerta del Angel,Latina,28011.0,40.40712833678628,-3.739709957879108,1,Apartment,22.0,154.0,660.0,102,10,0
143,Embajadores,Centro,28012.0,40.41047442627411,-3.7020712054116025,1,Apartment,55.0,300.0,900.0,12,1,0
144,Embajadores,Centro,28012.0,40.40872019054871,-3.699191156687504,1,Apartment,77.0,460.0,1500.0,12,1,0
145,Ciudad Jardín,Chamartín,28002.0,40.449305207432644,-3.674242769071133,1,Apartment,49.0,230.0,900.0,53,5,0
146,Palos de Moguer,Arganzuela,28012.0,40.40521628470725,-3.694541782762062,1,Apartment,69.0,700.0,2100.0,26,2,0
147,Cortes,Centro,28012.0,40.41440042735622,-3.701255902498677,1,Apartment,59.0,413.0,1770.0,13,1,0
148,Cortes,Centro,28014.0,40.412051760583694,-3.695421379432427,1,Apartment,86.0,783.0,2810.0,13,1,0
149,Almenara,Tetuán,28046.0,40.47293290995725,-3.689448997740272,1,Apartment,166.0,1160.0,3450.0,64,6,0
150,Guindalera,Salamanca,28028.0,40.43019897474456,-3.6648359839650553,1,Apartment,150.0,1230.0,3690.0,44,4,0
151,Embajadores,Centro,28012.0,40.40940147639885,-3.703874279329624,1,Apartment,25.0,220.0,600.0,12,1,0
152,Palacio,Centro,28013.0,40.4193509035268,-3.711623473406378,1,House,37.0,259.0,1110.0,11,1,4
153,Universidad,Centro,28015.0,40.42723139227238,-3.70958895345536,1,Apartment,59.0,413.0,1770.0,15,1,0
154,Palacio,Centro,28013.0,40.42082835370957,-3.7110213573274113,1,House,31.0,217.0,930.0,11,1,4
155,Timón,Barajas,28042.0,40.4713701939558,-3.585842319326692,1,Condominium,45.0,315.0,1350.0,214,21,7
156,Universidad,Centro,28015.0,40.42478931764307,-3.7089611132835336,1,Apartment,70.0,350.0,1100.0,15,1,0
157,Universidad,Centro,28004.0,40.4211319573156,-3.7018080597855887,1,Apartment,215.0,879.0,2400.0,15,1,0
158,Niño Jesús,Retiro,28007.0,40.40975811737962,-3.6754385877908633,1,Apartment,75.0,550.0,1500.0,36,3,0
159,Niño Jesús,Retiro,28007.0,40.40908425073682,-3.6731307459480136,1,Guesthouse,407.280000000017,910.0,2910.0,36,3,10
160,Sol,Centro,28013.0,40.417503661079046,-3.7067586058987927,1,Apartment,49.0,343.0,1470.0,16,1,0
161,Puerta del Angel,Latina,28011.0,40.41205367233145,-3.723534585059949,0,House,18.0,105.0,450.0,102,10,4
162,Pilar,Fuencarral - El Pardo,28029.0,40.47216082194701,-3.709699510123323,1,Apartment,22.0,110.0,660.0,84,8,0
163,Embajadores,Centro,28012.0,40.411767035123454,-3.6998538708322575,1,Apartment,70.0,450.0,1200.0,12,1,0
164,Palacio,Centro,28013.0,40.41971036702989,-3.71018444894459,1,Apartment,65.0,360.0,850.0,11,1,0
165,Sol,Centro,28013.0,40.41888663126018,-3.70115692602156,1,Apartment,150.0,700.0,2100.0,16,1,0
166,Pacífico,Retiro,28007.0,40.40573083818872,-3.673961451785973,1,House,24.0,168.0,720.0,31,3,4
167,Prosperidad,Chamartín,28002.0,40.439103292910715,-3.677454117142597,1,Apartment,35.0,240.0,895.0,52,5,0
168,Acacias,Arganzuela,28005.0,40.40265895014032,-3.703737588808319,1,Bed and breakfast,24.0,145.0,550.0,22,2,8
169,Sol,Centro,28013.0,40.41906379923706,-3.7010251416363222,1,Apartment,80.0,400.0,1350.0,16,1,0
170,Embajadores,Centro,28012.0,40.409953031852496,-3.697101559654868,1,Apartment,50.0,345.0,870.0,12,1,0
171,Estrella,Retiro,28007.0,40.407688717331844,-3.6695625315396203,1,Apartment,16.0,133.0,480.0,33,3,0
172,Fuente del Berro,Salamanca,28028.0,40.422578452733546,-3.6627460509909415,1,Townhouse,30.0,150.0,600.0,43,4,9
173,Palos de Moguer,Arganzuela,28045.0,40.40442458738009,-3.692560544974525,1,Apartment,70.0,400.0,1300.0,26,2,0
174,Palacio,Centro,28013.0,40.41592616180619,-3.711177984921784,1,Apartment,135.0,945.0,4050.0,11,1,0
175,Almagro,Chamberí,28010.0,40.43758925488499,-3.69782636207766,1,Apartment,50.0,350.0,1100.0,74,7,0
176,Universidad,Centro,28004.0,40.42182073814622,-3.7038877042197553,1,Apartment,72.0,504.0,1289.0,15,1,0
177,Sol,Centro,28012.0,40.41456492866132,-3.704373762758237,1,Apartment,77.0,386.0,1300.0,16,1,0
178,Cortes,Centro,28012.0,40.41493555088643,-3.701136049407292,1,Apartment,70.0,381.0,1340.0,13,1,0
179,Universidad,Centro,28015.0,40.42679643486993,-3.71035604919456,1,Apartment,54.0,345.0,1200.0,15,1,0
