Barrio;Anyo;Trimestre;Precio
Vicálvaro;2011;T2;8.67
Vicálvaro;2011;T3;8.61
Vicálvaro;2011;T4;8.76
Vicálvaro;2012;T1;8.43
Vicálvaro;2012;T2;8.49
Vicálvaro;2012;T3;8.24
Vicálvaro;2012;T4;8.29
Vicálvaro;2013;T1;8.1
Vicálvaro;2013;T2;8.1
Vicálvaro;2013;T3;7.7
Vicálvaro;2013;T4;7.6
Vicálvaro;2014;T1;8
Vicálvaro;2014;T2;8.3
Vicálvaro;2014;T3;7.9
Vicálvaro;2014;T4;8.3
Vicálvaro;2015;T1;8.4
Vicálvaro;2015;T2;8.2
Vicálvaro;2015;T3;-
Vicálvaro;2015;T4;-
Vicálvaro;2016;T1;-
Vicálvaro;2016;T2;9
Vicálvaro;2016;T3;-
Vicálvaro;2016;T4;-
Vicálvaro;2017;T1;-
Vicálvaro;2017;T2;9.9
Vicálvaro;2017;T3;-
Vicálvaro;2017;T4;-
Vicálvaro;2018;T1;-
Vicálvaro;2018;T2;-
Vicálvaro;2018;T3;-
Vicálvaro;2018;T4;-
San Blas-Canillejas;2010;T1;9.97
San Blas-Canillejas;2010;T2;10.08
San Blas-Canillejas;2010;T3;10.01
San Blas-Canillejas;2010;T4;10.04
San Blas-Canillejas;2011;T1;10.07
San Blas-Canillejas;2011;T2;10.02
San Blas-Canillejas;2011;T3;9.82
San Blas-Canillejas;2011;T4;9.7
San Blas-Canillejas;2012;T1;9.63
San Blas-Canillejas;2012;T2;9.52
San Blas-Canillejas;2012;T3;9.02
San Blas-Canillejas;2012;T4;8.98
San Blas-Canillejas;2013;T1;8.8
San Blas-Canillejas;2013;T2;8.6
San Blas-Canillejas;2013;T3;8.5
San Blas-Canillejas;2013;T4;8.4
San Blas-Canillejas;2014;T1;9.4
San Blas-Canillejas;2014;T2;9.2
San Blas-Canillejas;2014;T3;9.2
San Blas-Canillejas;2014;T4;9.2
San Blas-Canillejas;2015;T1;9.4
San Blas-Canillejas;2015;T2;9.3
San Blas-Canillejas;2015;T3;9.6
San Blas-Canillejas;2015;T4;9.7
San Blas-Canillejas;2016;T1;9.6
San Blas-Canillejas;2016;T2;9.7
San Blas-Canillejas;2016;T3;10.1
San Blas-Canillejas;2016;T4;10.6
San Blas-Canillejas;2017;T1;10.8
San Blas-Canillejas;2017;T2;11.3
San Blas-Canillejas;2017;T3;11.5
San Blas-Canillejas;2017;T4;11.4
San Blas-Canillejas;2018;T1;11.6
San Blas-Canillejas;2018;T2;-
San Blas-Canillejas;2018;T3;-
San Blas-Canillejas;2018;T4;-
Barajas;2010;T1;10.22
Barajas;2010;T2;10.06
Barajas;2010;T3;10.11
Barajas;2010;T4;10.57
Barajas;2011;T1;10.44
Barajas;2011;T2;10.19
Barajas;2011;T3;10.47
Barajas;2011;T4;10.19
Barajas;2012;T1;10.3
Barajas;2012;T2;9.84
Barajas;2012;T3;9.75
Barajas;2012;T4;9.7
Barajas;2013;T1;9.7
Barajas;2013;T2;9.6
Barajas;2013;T3;9.4
Barajas;2013;T4;9.6
Barajas;2014;T1;10
Barajas;2014;T2;9.9
Barajas;2014;T3;9.8
Barajas;2014;T4;9.5
Barajas;2015;T1;10
Barajas;2015;T2;9.8
Barajas;2015;T3;9.9
Barajas;2015;T4;10
Barajas;2016;T1;10.2
Barajas;2016;T2;10.6
Barajas;2016;T3;11
Barajas;2016;T4;10.6
Barajas;2017;T1;11.6
Barajas;2017;T2;12
Barajas;2017;T3;11.6
Barajas;2017;T4;12.2
Barajas;2018;T1;12.7
Barajas;2018;T2;-
Barajas;2018;T3;-
Barajas;2018;T4;-
